BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.5939572126	0	63.53_19.81	0.16		2014-06-30	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.4309259720996663	7	0.269379673494683	7_SE633000-195000
0.2583417679	0	63.50_19.82	0.16		2014-07-28	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.7803186833089275	8	0.6193346174743739	8_SE633000-195000
1.0599396405	0	63.53_19.81	0.16		2014-08-14	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.2886899898428698	9	0.1509519918742958	9_SE633000-195000
1.4997239989	0	63.50_19.82	0.16		2014-08-27	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.23335787127944455	10	0.10668629702355563	10_SE633000-195000
0.843248176	0	63.52_19.81	0.16		2015-06-01	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.3371780997484186	11	0.18974247979873485	11_SE633000-195000
0.3481666498	0	63.50_19.82	0.16		2015-06-15	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.6281429011404247	12	0.459550046197446	12_SE633000-195000
0.2130845527	0	63.52_19.81	0.16		2015-06-29	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.8615975780835348	13	0.7508756405503626	13_SE633000-195000
0.1864536393	0	63.50_19.82	0.16		2015-08-03	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.9211789786836423	14	0.8581221616305561	14_SE633000-195000
0.1523490501	0	63.52_19.81	0.16		2015-08-19	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	1.0	15	1.0	15_SE633000-195000
0.338081097	0	63.50_19.82	0.16		2016-06-13	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.6411992676701584	16	0.4732592310536664	16_SE633000-195000
