YEAR	local_EQR	PHOS	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
2014	0.5612903225806453	0.31	3.7	1	SE600565-184600	16 - Södra Bottenhavet. Inre kustvatten	0.755	0.5155145929339479	MODERATE	(0, 'SE600565-184600')
2015	0.5566666666666668	0.3	3.35	1	SE600565-184600	16 - Södra Bottenhavet. Inre kustvatten	0.53	0.5111111111111112	MODERATE	(1, 'SE600565-184600')
2013	0.45054945054945056	0.91	21.996333333333336	1	SE561030-122821	05 - Södra Hallands och norra Öresunds kustvatten	0.945	0.4091734352603918	MODERATE	(0, 'SE561030-122821')
2014	0.6721311475409837	0.61	21.23	1	SE561030-122821	05 - Södra Hallands och norra Öresunds kustvatten	0.8200000000000001	0.6032786885245902	GOOD	(1, 'SE561030-122821')
2015	0.5074295774647887	0.71	16.174999999999997	1	SE561030-122821	05 - Södra Hallands och norra Öresunds kustvatten	1.415	0.4586344151867728	MODERATE	(2, 'SE561030-122821')
2013	0.32569753086419745	0.81	8.754999999999999	1	SE554810-125240	06 - Öresunds kustvatten	1.11	0.24759670781892995	POOR	(0, 'SE554810-125240')
2014	0.4530386740331492	0.905	24.385	1	SE554810-125240	06 - Öresunds kustvatten	1.0	0.41133797742012973	MODERATE	(1, 'SE554810-125240')
2015	0.45319424460431645	0.6950000000000001	12.69	1	SE554810-125240	06 - Öresunds kustvatten	1.145	0.4114732561776665	MODERATE	(2, 'SE554810-125240')
2013	0.43152626667139193	0.6133333333333334	9.055000000000001	3	SE552500-124461	07 - Skånes kustvatten	1.0433333333333332	0.37690783333923994	POOR	(0, 'SE552500-124461')
2014	0.3830277349768875	0.6783333333333333	14.868333333333334	3	SE552500-124461	07 - Skånes kustvatten	1.0966666666666667	0.31628466872110944	POOR	(1, 'SE552500-124461')
2015	0.4239232130099004	0.5933333333333334	10.073333333333334	3	SE552500-124461	07 - Skånes kustvatten	1.2566666666666666	0.3674040162623755	POOR	(2, 'SE552500-124461')
2013	0.7824544013815963	0.54	23.090555555555554	3	SE572472-120302	01s - Västkustens inre kustvatten	0.88	0.7576221559716865	GOOD	(0, 'SE572472-120302')
2014	2.3025889104475	0.33199999999999996	18.44173333333333	5	SE572472-120302	01s - Västkustens inre kustvatten	0.8540000000000001	1.0	HIGH	(1, 'SE572472-120302')
2015	0.874002436505445	0.5133333333333333	23.214750000000002	4	SE572472-120302	01s - Västkustens inre kustvatten	1.0899999999999999	0.8673709857952052	HIGH	(2, 'SE572472-120302')
2013	0.7669977081741788	0.5755555555555556	23.974222222222224	3	SE572135-120141	01s - Västkustens inre kustvatten	0.9011111111111112	0.733842627960275	GOOD	(0, 'SE572135-120141')
2014	2.1329533564737764	0.3033333333333334	19.312866666666665	5	SE572135-120141	01s - Västkustens inre kustvatten	0.8446666666666667	1.0	HIGH	(1, 'SE572135-120141')
2015	0.8634624694670848	0.5125	24.029999999999998	4	SE572135-120141	01s - Västkustens inre kustvatten	1.0575	0.856276283649563	HIGH	(2, 'SE572135-120141')
2015	0.45185185185185184	0.54	5.5	1	SE594340-190448	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.65	0.4107744107744108	MODERATE	(0, 'SE594340-190448')
2013	0.30179310344827587	0.7250000000000001	2.35	1	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	1.045	0.21572413793103454	POOR	(0, 'SE592400-180800')
2014	0.3460317460317461	0.63	2.25	1	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	1.205	0.2747089947089948	POOR	(1, 'SE592400-180800')
2015	0.2102857142857143	1.05	2.6	1	SE592400-180800	24 - Stockholms inre skärgård och Hallsfjärden	1.6619999999999997	0.14502463054187195	BAD	(2, 'SE592400-180800')
2013	0.07379644588045235	3.0949999999999998	3.55	1	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	3.7700000000000005	0.05089410060720853	BAD	(0, 'SE593750-183962')
2014	0.37836065573770494	0.61	3.85	1	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.17	0.3178142076502733	POOR	(1, 'SE593750-183962')
2015	0.46	0.5	3.75	1	SE593750-183962	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.9450000000000001	0.4181818181818182	MODERATE	(2, 'SE593750-183962')
2013	0.7473684210526317	0.19	2.0	1	SE643700-211940	22 - Norra Bottenviken. Inre kustvatten	0.8	0.7190283400809717	GOOD	(0, 'SE643700-211940')
2013	2.2222222222222223	0.09	5.0	1	SE623890-178030	19 - Norra Bottenhavet. Höga kusten. Yttre kustvatten	0.405	1.0	HIGH	(0, 'SE623890-178030')
2013	3.6363636363636367	0.055	3.5	2	SE622500-172430	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.2825	1.0	HIGH	(0, 'SE622500-172430')
