BIOV_CONC_ALL	DATE_count	POSITION	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.7831322645	1	60.11_18.58		MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2013	0.4268132734337843	0	0.26815393710547347	0_SE600740-183460
0.6239527192	1	60.11_18.58		MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2014	0.491965679202426	1	0.3365639631625473	1_SE600740-183460
0.3832102188	1	60.11_18.58		GOOD	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2015	0.6933353217920875	2	0.5480020878816919	2_SE600740-183460
0.7723074091	1	60.11_18.58		MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2016	0.43039280981787786	3	0.27191245030877176	3_SE600740-183460
0.4936866726	2	60.18_18.48		MODERATE	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2014	0.5872453786424343	0	0.43660764757455606	0_SE601070-182870
0.28535399175	2	60.18_18.48		HIGH	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2015	0.8706953269940112	1	0.7801820558898189	1_SE601070-182870
0.27110630064999997	2	60.18_18.48		HIGH	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2016	0.8682871288666837	2	0.7760881190733623	2_SE601070-182870
1.4198028305000001	2	65.66_22.25		POOR	SE656620-222480	22 - Norra Bottenviken. Inre kustvatten	2013	0.2590508268286271	0	0.12724066146290167	0_SE656620-222480
1.021077294	1	65.67_22.24		POOR	SE656620-222480	22 - Norra Bottenviken. Inre kustvatten	2013	0.2958715575943461	1	0.15669724607547683	1_SE656620-222480
2.6112814595	2	65.63_22.27		BAD	SE656300-222750	22 - Norra Bottenviken. Inre kustvatten	2013	0.15457699612381237	0	0.06183079844952494	0_SE656300-222750
3.470177458	1	65.63_22.28		BAD	SE656300-222750	22 - Norra Bottenviken. Inre kustvatten	2013	0.11526788034365705	1	0.04610715213746282	1_SE656300-222750
0.713676028	1	65.50_22.05		POOR	SE655120-220380	22 - Norra Bottenviken. Inre kustvatten	2013	0.38023920119676496	0	0.2241913609574119	0_SE655120-220380
