DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR
1	0.17	26.21	16.051071	5.213	2015-08-12	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.44763868752384584	(5, 'SE591200-183600')	0.6124025562762304
1	0.18	22.39	15.868450000000001	5.35	2016-07-20	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.5352084940517277	(6, 'SE591200-183600')	0.7087293434569004
1	0.2	19.11	15.177956	5.868	2016-08-15	GOOD	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.6316478865050295	(7, 'SE591200-183600')	0.7942415489272633
1	0.18	30.45	18.26785	3.55	2013-07-09	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.43629944767875795	(0, 'SE592040-184000')	0.5999293924466338
1	0.25	23.28	17.030826	4.478	2013-07-18	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5559679006560451	(1, 'SE592040-184000')	0.7315646907216495
1	0.05	23.86	16.626927000000002	4.781	2013-08-13	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5244123675988723	(2, 'SE592040-184000')	0.6968536043587595
1	0.37	38.3	17.77464	3.92	2013-08-22	POOR	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.2934331302581956	(3, 'SE592040-184000')	0.4640898172323761
4	28.93	86.55	16.434975	4.925	2014-06-16	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.0999420778983855	(4, 'SE592040-184000')	0.18988994800693243
1	0.35	39.23	17.56136	4.08	2014-07-07	POOR	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.2751680969779364	(5, 'SE592040-184000')	0.4476512872801428
4	28.44	126.95	16.13505	5.15	2014-07-14	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.06689351381604859	(6, 'SE592040-184000')	0.12709767625049231
1	0.19	25.4	16.841540000000002	4.62	2014-07-17	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.4936843235504654	(7, 'SE592040-184000')	0.6630527559055119
4	57.35333333333333	112.175	16.6016	4.8	2014-07-28	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.07789332926700528	(8, 'SE592040-184000')	0.14799732560731002
4	54.7125	125.95	16.634925	4.775	2014-08-11	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.06951348697269175	(9, 'SE592040-184000')	0.1320756252481143
1	0.17	23.2	16.72157	4.71	2014-08-12	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.5461430250783699	(10, 'SE592040-184000')	0.7207573275862069
1	0.12	37.07	17.38807	4.21	2014-08-15	POOR	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.2989560291340706	(11, 'SE592040-184000')	0.4690604262206636
4	54.905	115.55	16.53495	4.8500000000000005	2014-08-25	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.07531462798059624	(12, 'SE592040-184000')	0.14309779316313284
4	21.404999999999998	75.25	16.40165	4.949999999999999	2015-06-01	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.11471690855044588	(13, 'SE592040-184000')	0.21796212624584718
4	9.477500000000001	55.65	16.568275	4.825	2015-06-22	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.1566962216862912	(14, 'SE592040-184000')	0.29772282120395327
4	13.8	77.3	16.568275	4.825	2015-07-06	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.11280911690610745	(15, 'SE592040-184000')	0.21433732212160414
1	0.14	24.01	17.17479	4.37	2015-07-13	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.5411983643178979	(16, 'SE592040-184000')	0.7153182007496877
4	10.565	56.45	16.568275	4.825	2015-07-20	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.154475548925458	(17, 'SE592040-184000')	0.2935035429583702
