DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
3	3.383333333333333	3.23	0.2376	4.7	2015-12-14	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2015	0.04843213861049772		(5, 'SE582705-163350')	0.07022660098522168
3	1.957	2.344	0.2424	5.3	2016-12-07	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2016	0.08542279703275599		(6, 'SE582705-163350')	0.12386305569749617
3	0.7600000000000001	0.9233333333333333	0.2456	5.7	2013-02-12	POOR	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.2442105263157895		(0, 'SE582050-165820')	0.3231578947368421
3	1.0066666666666666	1.28	0.248	6.8	2013-12-11	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.16990180406485503		(1, 'SE582050-165820')	0.24635761589403976
3	0.9566666666666667	1.28	0.248	6.8	2014-02-14	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.1787816892947255		(2, 'SE582050-165820')	0.25923344947735194
3	0.9	1.0733333333333335	0.248	6.1	2014-12-17	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.19003831417624523		(3, 'SE582050-165820')	0.27555555555555555
3	1.2166666666666666	1.3866666666666667	0.248	8.6	2015-02-10	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.14057628719886636		(4, 'SE582050-165820')	0.20383561643835618
3	1.2166666666666666	1.4433333333333334	0.248	6.8	2015-12-14	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.14057628719886636		(5, 'SE582050-165820')	0.20383561643835618
3	0.9710000000000001	1.473	0.248	7.1000000000000005	2016-02-19	BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.17614261870094822		(6, 'SE582050-165820')	0.2554067971163749
3	0.6126666666666667	0.785	0.248	6.400000000000001	2016-12-07	POOR	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.353050417120058		(7, 'SE582050-165820')	0.4047878128400435
4	0.5625	0.855	0.48644	26.04	2013-01-08	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2013	0.8647822222222222		(0, 'SE582147-111771')	0.8647822222222222
4	0.635	0.7000000000000001	0.497	32.545	2013-02-07	GOOD	SE582147-111771	01n - Västkustens inre kustvatten	2013	0.7752530933633296		(1, 'SE582147-111771')	0.7826771653543307
4	0.5974999999999999	0.8675	0.4696375	24.5125	2013-03-06	GOOD	SE582147-111771	01n - Västkustens inre kustvatten	2013	0.780005977286312		(2, 'SE582147-111771')	0.7860041841004185
4	0.475	0.655	0.497	30.9075	2013-12-04	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2013	1.0		(3, 'SE582147-111771')	1.0463157894736843
4	0.4725	0.845	0.48374500000000004	25.795	2014-01-07	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2014	1.0		(4, 'SE582147-111771')	1.023798941798942
4	0.12	0.7250000000000001	0.446895	22.445	2014-03-06	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2014	1.0		(5, 'SE582147-111771')	3.724125
4	0.28500000000000003	0.6875	0.46235000000000004	23.85	2014-12-02	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2014	1.0		(6, 'SE582147-111771')	1.6222807017543859
4	0.55	0.8	0.497	29.514999999999997	2015-01-07	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2015	0.9036363636363636		(7, 'SE582147-111771')	0.9036363636363636
4	0.55	0.7825	0.497	32.545	2015-02-04	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2015	0.9036363636363636		(8, 'SE582147-111771')	0.9036363636363636
4	0.275	0.535	0.49535	26.85	2015-03-04	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2015	1.0		(9, 'SE582147-111771')	1.8012727272727271
4	0.42	0.975	0.497	31.43	2015-12-01	HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2015	1.0		(10, 'SE582147-111771')	1.1833333333333333
