DEPH	DOXY	MONTH	POSITION	SDATE	STATN	VISS_EU_CD	WATER_TYPE_AREA	YEAR	index_column	new_index	source_DOXY
73.0	3.91	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6029	6029_SE581700-113000	DOXY_BTL
0.0	7.21	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6106	6106_SE581700-113000	DOXY_BTL
2.0	7.26	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6107	6107_SE581700-113000	DOXY_BTL
5.0	6.58	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6108	6108_SE581700-113000	DOXY_BTL
10.0	6.39	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6109	6109_SE581700-113000	DOXY_BTL
15.0	6.3	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6110	6110_SE581700-113000	DOXY_BTL
20.0	5.97	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6111	6111_SE581700-113000	DOXY_BTL
30.0	5.47	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6112	6112_SE581700-113000	DOXY_BTL
40.0	5.14	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6113	6113_SE581700-113000	DOXY_BTL
50.0	4.68	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6114	6114_SE581700-113000	DOXY_BTL
60.0	4.31	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6115	6115_SE581700-113000	DOXY_BTL
70.0	3.26	6	58.39_11.63	2017-06-06	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6116	6116_SE581700-113000	DOXY_BTL
0.0	7.11	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6197	6197_SE581700-113000	DOXY_BTL
5.0	6.95	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6198	6198_SE581700-113000	DOXY_BTL
10.0	6.67	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6199	6199_SE581700-113000	DOXY_BTL
15.0	6.18	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6200	6200_SE581700-113000	DOXY_BTL
20.0	6.06	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6201	6201_SE581700-113000	DOXY_BTL
30.0	6.08	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6202	6202_SE581700-113000	DOXY_BTL
40.0	5.91	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6203	6203_SE581700-113000	DOXY_BTL
50.0	5.9	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6204	6204_SE581700-113000	DOXY_BTL
76.0	5.91	5	58.26_11.44	2017-05-20	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6205	6205_SE581700-113000	DOXY_BTL
0.0	7.74	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6249	6249_SE581700-113000	DOXY_BTL
2.0	7.64	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6250	6250_SE581700-113000	DOXY_BTL
5.0	7.5	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6251	6251_SE581700-113000	DOXY_BTL
10.0	7.45	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6252	6252_SE581700-113000	DOXY_BTL
15.0	7.34	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6253	6253_SE581700-113000	DOXY_BTL
20.0	6.97	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6254	6254_SE581700-113000	DOXY_BTL
30.0	6.3	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6255	6255_SE581700-113000	DOXY_BTL
40.0	6.24	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6256	6256_SE581700-113000	DOXY_BTL
50.0	5.75	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6257	6257_SE581700-113000	DOXY_BTL
60.0	4.81	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6258	6258_SE581700-113000	DOXY_BTL
70.0	3.4	5	58.39_11.63	2017-05-02	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6259	6259_SE581700-113000	DOXY_BTL
0.0	7.38	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6324	6324_SE581700-113000	DOXY_BTL
5.0	7.39	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6325	6325_SE581700-113000	DOXY_BTL
10.0	7.38	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6326	6326_SE581700-113000	DOXY_BTL
15.0	7.33	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6327	6327_SE581700-113000	DOXY_BTL
20.0	7.23	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6328	6328_SE581700-113000	DOXY_BTL
30.0	6.8	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6329	6329_SE581700-113000	DOXY_BTL
40.0	6.35	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6330	6330_SE581700-113000	DOXY_BTL
50.0	5.13	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6331	6331_SE581700-113000	DOXY_BTL
69.0	4.01	4	58.26_11.44	2017-04-21	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6332	6332_SE581700-113000	DOXY_BTL
0.0	8.78	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6393	6393_SE581700-113000	DOXY_BTL
2.0	8.4	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6394	6394_SE581700-113000	DOXY_BTL
5.0	7.61	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6395	6395_SE581700-113000	DOXY_BTL
10.0	7.3	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6396	6396_SE581700-113000	DOXY_BTL
15.0	7.07	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6397	6397_SE581700-113000	DOXY_BTL
20.0	6.91	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6398	6398_SE581700-113000	DOXY_BTL
30.0	6.31	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6399	6399_SE581700-113000	DOXY_BTL
40.0	5.81	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6400	6400_SE581700-113000	DOXY_BTL
50.0	4.82	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6401	6401_SE581700-113000	DOXY_BTL
60.0	4.15	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6402	6402_SE581700-113000	DOXY_BTL
70.0	3.74	4	58.39_11.63	2017-04-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	6403	6403_SE581700-113000	DOXY_BTL
0.0	8.04	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6451	6451_SE581700-113000	DOXY_BTL
5.0	8.0	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6452	6452_SE581700-113000	DOXY_BTL
10.0	7.69	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6453	6453_SE581700-113000	DOXY_BTL
15.0	7.51	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6454	6454_SE581700-113000	DOXY_BTL
20.0	6.79	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6455	6455_SE581700-113000	DOXY_BTL
30.0	6.68	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6456	6456_SE581700-113000	DOXY_BTL
40.0	6.63	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6457	6457_SE581700-113000	DOXY_BTL
50.0	6.61	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6458	6458_SE581700-113000	DOXY_BTL
64.0	4.78	3	58.26_11.44	2017-03-12	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6459	6459_SE581700-113000	DOXY_BTL
