Area below limit %	COMMENT	DEFICIENCY_TYPE	GLOBAL_EQR	LIMIT	O2 conc test1	O2 conc test2	STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	index_column	new_index	test1_month_list	test1_no_yr	test2_month_list	test2_no_yr	test2_ok	total_month_list	total_no_yr
0.0		no_deficiency	1.0	3.5	5.545	5.545	HIGH	SE593820-185500	Blidösund	12-n	0	0_SE593820-185500	[8 7]	4	[]	0	False	[8 7]	4
6.5151609446336005	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.2805	3.5	0.40249999999999997	0.40249999999999997	POOR	SE592420-182210	Södra Vaxholmsfjärden	24	0	0_SE592420-182210	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.224	3.5	0.12000000000000001	0.12000000000000001	POOR	SE590990-174015	Igelstaviken	24	0	0_SE590990-174015	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.23700000000000002	3.5	0.18500000000000003	0.18500000000000003	POOR	SE658507-162696	Brunnsviken	24	0	0_SE658507-162696	[8 7]	4	[]	0	False	[8 7]	4
22.47807102579486	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.339	3.5	0.6950000000000001	0.6950000000000001	POOR	SE585345-174950	Fållnäsviken	12-n	0	0_SE585345-174950	[8 7]	4	[]	0	False	[8 7]	4
0.37744452724263217	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.23800000000000002	3.5	0.19	0.19	POOR	SE590550-174540	Kaggfjärden	12-n	0	0_SE590550-174540	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.253	3.5	0.265	0.265	POOR	SE583970-170280	Marsviken	12-n	0	0_SE583970-170280	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	5.8500000000000005	5.8500000000000005	HIGH	SE584430-170665	Sjösafjärden	12-n	0	0_SE584430-170665	[8 7 9]	4	[]	0	False	[8 7 9]	4
0.0		no_deficiency	1.0	3.5	4.8950000000000005	4.8950000000000005	HIGH	SE584390-172085	Kråkfjärden	12-n	0	0_SE584390-172085	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	4.845	4.845	HIGH	SE584400-172270	Dragviksfjärden	12-n	0	0_SE584400-172270	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	4.46	4.46	HIGH	SE584600-173200	Gupafjärden	12-n	0	0_SE584600-173200	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	3.67	3.67	HIGH	SE584820-172920	Gunnarbofjärden	12-n	0	0_SE584820-172920	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.5268181818181819	3.5	1.6975	1.6975	MODERATE	SE584905-172980	Skettnefjärden	12-n	0	0_SE584905-172980	[8 7]	4	[]	0	False	[8 7]	4
3.4684946861881434		no_deficiency	1.0	3.5	4.13	4.13	HIGH	SE585075-173130	Hållsviken	12-n	0	0_SE585075-173130	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	5.3375	5.3375	HIGH	SE585040-173535	Gillsviken	12-n	0	0_SE585040-173535	[8 7]	4	[]	0	False	[8 7]	4
6.5225541736158394		no_deficiency	1.0	3.5	3.6849999999999996	3.6849999999999996	HIGH	SE583875-170270	Sillöfjärden	12-n	0	0_SE583875-170270	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.224	3.5	0.12000000000000001	0.12000000000000001	POOR	SE591090-182300	Vissvassfjärden	12-n	0	0_SE591090-182300	[8 7]	4	[]	0	False	[8 7]	4
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.233	3.5	0.16500000000000004	0.16500000000000004	POOR	SE593000-190500	Kallskärsfjärden	12-n	0	0_SE593000-190500	[8 7]	4	[]	0	False	[8 7]	4
