VISS_EU_CD	local_EQR	PHOS	SALT	YEAR_count	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
SE562450-122751	0.5865300000000001	0.6666666666666666	18.540000000000003	1	['05 - Södra Hallands och norra Öresunds kustvatten']	1.1500000000000001	0.527417391304348	MODERATE	(0, 'SE562450-122751')
SE658352-163189	0.2162128142814559	1.0266666666666666	2.48	3	['24 - Stockholms inre skärgård och Hallsfjärden']	1.2841666666666667	0.1491122857113489	BAD	(0, 'SE658352-163189')
SE594670-185500	0.4153259513241472	0.7280555555555556	3.4861111111111107	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.4730555555555556	0.36710126843219626	POOR	(0, 'SE594670-185500')
SE594800-190220	0.5142502218278616	0.475	5.5	2	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.75	0.46750020166169237	MODERATE	(0, 'SE594800-190220')
SE601000-183510	0.5365641003322162	0.3666666666666667	4.333333333333334	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.73	0.491965809840206	MODERATE	(0, 'SE601000-183510')
SE600565-184600	0.558978494623656	0.305	3.5250000000000004	2	['16 - Södra Bottenhavet. Inre kustvatten']	0.6425000000000001	0.5133128520225295	MODERATE	(0, 'SE600565-184600')
SE561030-122821	0.5433700585184077	0.7433333333333333	19.800444444444445	3	['05 - Södra Hallands och norra Öresunds kustvatten']	1.06	0.48988700740731106	MODERATE	(0, 'SE561030-122821')
SE554810-125240	0.41064348316722105	0.8033333333333333	15.276666666666666	3	['06 - Öresunds kustvatten']	1.0850000000000002	0.3608579775562948	POOR	(0, 'SE554810-125240')
SE552500-124461	0.41282573821939333	0.6283333333333334	11.332222222222223	3	['07 - Skånes kustvatten']	1.1322222222222222	0.3535321727742417	POOR	(0, 'SE552500-124461')
SE572472-120302	1.3196819161115139	0.4617777777777778	21.582346296296294	3	['01s - Västkustens inre kustvatten']	0.9413333333333332	1.0	HIGH	(0, 'SE572472-120302')
SE572135-120141	1.2544711780383466	0.4637962962962963	22.43902962962963	3	['01s - Västkustens inre kustvatten']	0.9344259259259259	1.0	HIGH	(0, 'SE572135-120141')
SE594340-190448	0.45185185185185184	0.54	5.5	1	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.65	0.4107744107744108	MODERATE	(0, 'SE594340-190448')
