STATUS2013din_winter	EU_CD	YEAR_count2013din_winter	global_EQR2013din_winter	WATER_TYPE_AREA	STATUS2017din_winter	YEAR_count2017din_winter	global_EQR2017din_winter	changedin_winter	STATUS2013ntot_winter	YEAR_count2013ntot_winter	global_EQR2013ntot_winter	STATUS2017ntot_winter	YEAR_count2017ntot_winter	global_EQR2017ntot_winter	changentot_winter	STATUS2013	YEAR_count2013	global_EQR2013	STATUS2017	YEAR_count2017	global_EQR2017	change
MODERATE	SE654860-219880	1	0.48291611769872644	22 - Norra Bottenviken. Inre kustvatten	MODERATE	1	0.5312077294685991	0	HIGH	1	0.8863529375951295	HIGH	1	1.0	0	HIGH	1	0.9017384731670446	HIGH	1	0.9068783068783071	0
GOOD	SE580688-114860	6	0.7117299641787123	02 - Västkustens fjordar	MODERATE	6	0.507648320838125	-1	GOOD	6	0.7816796533914872	MODERATE	6	0.5946496444438094	-1	MODERATE	6	0.5024853501507325	MODERATE	6	0.4131262381544118	0
BAD	SE656620-222480	1		22 - Norra Bottenviken. Inre kustvatten	BAD	1		0	BAD	1		BAD	1		0	MODERATE	2	0.451688478195304	MODERATE	2	0.46258607577443445	0
MODERATE	SE581740-114820	6	0.5848274520234781	02 - Västkustens fjordar	MODERATE	6	0.43551292433448235	0	GOOD	6	0.650981887371678	MODERATE	6	0.5357252252921978	-1	MODERATE	6	0.49397448550883316	POOR	6	0.39888425721091575	2
BAD	SE656300-222750	1		22 - Norra Bottenviken. Inre kustvatten	BAD	1		0	BAD	1		BAD	1		0	POOR	2	0.32886548259356796	POOR	2	0.3367266712724706	0
GOOD	SE575340-113000	6	0.7383724992869797	03 - Västkustens yttre kustvatten. Skagerrak	MODERATE	6	0.559024468649402	-1	HIGH	6	0.8402988761083471	GOOD	6	0.7273261608303828	2	MODERATE	6	0.5641556079955685	MODERATE	6	0.4555279197923089	0
POOR	SE582705-163350	5	0.3852836614966427	13 - Östergötlands inre kustvatten	MODERATE	5	0.4240198318135384	2	BAD	5	0.1767973025377538	BAD	5	0.19132533271813398	0	MODERATE	6	0.5096448331092545	MODERATE	6	0.49628794995100056	0
MODERATE	SE582460-164500	5	0.4705966376156939	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	MODERATE	5	0.4772324966180025	0	MODERATE	5	0.44313644852698714	MODERATE	5	0.4565233356884611	0	MODERATE	6	0.563899036794036	MODERATE	6	0.5610629195043699	0
MODERATE	SE582050-165820	5	0.5497026425762424	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	MODERATE	5	0.5581351744654798	0	GOOD	5	0.7156455294247246	GOOD	5	0.713544390255151	0	HIGH	6	0.8073685157975093	GOOD	6	0.7833419810700811	2
POOR	SE644730-210650	1	0.2503945416790271	22 - Norra Bottenviken. Inre kustvatten	POOR	1	0.2693523187975873	0	MODERATE	1	0.41294193708609256	MODERATE	1	0.45296455005843395	0	HIGH	2	0.8133884634697771	HIGH	2	0.8160637657132801	0
MODERATE	SE583730-164501	5	0.42008356883908404	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	MODERATE	5	0.442571581178828	0	MODERATE	5	0.5516885341121468	MODERATE	5	0.5362310589398899	0	GOOD	6	0.6663361420377254	GOOD	6	0.6308476973246617	0
GOOD	SE583926-161744	2	0.7894035012859479	13 - Östergötlands inre kustvatten	HIGH	2	0.8030787234042553	2	POOR	2	0.33153338000243837	POOR	2	0.36796835461562744	0	MODERATE	3	0.5229141619579302	MODERATE	3	0.5119670603679274	0
