WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area
Sörbrändöfjärden	1	2	2008-10-20	652710-223116	22	652920-222650	SE1	SE652920-222650	SE1	SE	22	22	79781.57563	94871519.35
Bursfjärden	1	2	2006-12-31		22	650460-213400	SE1	SE650460-213400	SE1	SE	22	22	21924.58332	7597995.252
Åbyfjärden	1	2	2006-12-31		22	645950-212650	SE1	SE645950-212650	SE1	SE	22	22	25482.87609	11604663.24
Boviksfjärden	1	2	2006-12-31		22	644730-210650	SE1	SE644730-210650	SE1	SE	22	22	10791.667	2300125.879
Ytterviksfjärden	1	2	2008-09-17	643950-211486	22	644030-218500	SE1	SE644030-218500	SE1	SE	22	22	16179.33443	3038093.381
Mulöviken	1	2	2011-11-08	729996-179691	22	656300-222750	SE1	SE656300-222750	SE1	SE	22	22	6988.429563	2053259.443
Ersnäsfjärden	1	2	2011-11-09	652630-220570	22	654860-219880	SE1	SE654860-219880	SE1	SE	22	22	30927.63921	17545596.55
Möröfjärden	1	2	2011-11-09	652630-220570	22	655180-218660	SE1	SE655180-218660	SE1	SE	22	22	22159.68116	4623642.89
Fårholmen	2	2	2011-10-27	612230-172001	16	605630-179220	SE2	SE605630-179220	SE2	SE	16	16	5200.519274	601122.0922
Långvindsfjärden	2	2	2011-07-15		16	612791-171130	SE2	SE612791-171130	SE2	SE	16	16	36354.15643	11191492.41
Norrsundet	2	2	2011-10-27	612230-172001	16	605760-171000	SE2	SE605760-171000	SE2	SE	16	16	34349.32363	13749325.05
