	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	TYPE_AREA_SUFFIX	TYPE_AREA_NAME
215	Kallriga Fjärden	3	2	2006-12-31		16	602120-181610	SE3	SE602120-181610	SE3	SE	16	16	27096.187739999998	7024935.06		Södra Bottenhavet, inre kustvatten
216	Ängsfjärden sek namn	3	2	2006-12-31		16	601660-183550	SE3	SE601660-183550	SE3	SE	16	16	135992.3013	28969105.0		Södra Bottenhavet, inre kustvatten
217	Östhammarfjärden sek namn	3	2	2006-12-31		16	601300-182880	SE3	SE601300-182880	SE3	SE	16	16	66758.02169	15644106.16		Södra Bottenhavet, inre kustvatten
218	Raggaröfjärden	3	2	2006-12-31		16	601310-183700	SE3	SE601310-183700	SE3	SE	16	16	37447.20804	11581816.27		Södra Bottenhavet, inre kustvatten
219	Galtfjärden	3	2	2006-12-31		16	601000-183510	SE3	SE601000-183510	SE3	SE	16	16	88249.16746	32356346.69		Södra Bottenhavet, inre kustvatten
220	Ljusnefjärden	2	2	2006-12-31		16	611213-171063	SE2	SE611213-171063	SE2	SE	16	16	25061.39299	7723504.113		Södra Bottenhavet, inre kustvatten
221	Skutskärsfjärden sek namn	2	2	2006-12-31		16	604250-173000	SE2	SE604250-173000	SE2	SE	16	16	82677.95943999999	140500691.3		Södra Bottenhavet, inre kustvatten
222	Västra Saxarfjärden	3	2	2006-12-31		12	592650-182815	SE3	SE592650-182815	SE3	SE	12n	12	68392.11422999999	23885261.45	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
223	Trälhavet	3	2	2006-12-31		12	592605-182310	SE3	SE592605-182310	SE3	SE	12n	12	51929.13328	20583857.1	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
224	Kyrkfjärden	3	1	2006-12-31		24	592600-181135	SE3	SE592600-181135	SE3	SE	24	24	12421.84663	2274241.753		Stockholms inre skärgård och Hallsfjärden
225	Överbyfjärden	3	1	2006-12-31		24	592575-181770	SE3	SE592575-181770	SE3	SE	24	24	11527.65442	2010734.105		Stockholms inre skärgård och Hallsfjärden
226	Säbyvik	3	1	2006-12-31		24	592600-181600	SE3	SE592600-181600	SE3	SE	24	24	16014.73261	1867820.15		Stockholms inre skärgård och Hallsfjärden
227	Södra Vaxholmsfjärden	3	1	2006-12-31		24	592420-182210	SE3	SE592420-182210	SE3	SE	24	24	19983.04654	4432669.17		Stockholms inre skärgård och Hallsfjärden
228	Skurusundet	3	1	2006-12-31		24	591800-181360	SE3	SE591800-181360	SE3	SE	24	24	19579.22996	2430855.484		Stockholms inre skärgård och Hallsfjärden
229	Gränöfjärden	3	2	2006-12-31		12	591050-182740	SE3	SE591050-182740	SE3	SE	12n	12	50680.16362	15666192.25	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
230	Ällmorafjärden	3	2	2006-12-31		12	591160-182400	SE3	SE591160-182400	SE3	SE	12n	12	8982.182529000002	1528149.148	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
231	Jungfrufjärden	3	2	2006-12-31		12	590835-183000	SE3	SE590835-183000	SE3	SE	12n	12	67070.26005	48249094.49	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
232	Vissvassfjärden	3	2	2006-12-31		12	591090-182300	SE3	SE591090-182300	SE3	SE	12n	12	5739.073075	1157144.963	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
233	Sandemars fjärd sek namn	3	2	2006-12-31		12	590635-182120	SE3	SE590635-182120	SE3	SE	12n	12	51342.21333	17112735.93	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
234	Fåglaröfjärden sek namn	3	2	2006-12-31		12	590500-182000	SE3	SE590500-182000	SE3	SE	12n	12	95300.77174	31265594.15	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
235	Skettnefjärden	3	2	2006-12-31		12	584905-172980	SE3	SE584905-172980	SE3	SE	12n	12	19193.08048	4728924.655	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
236	Lagnöströmmen	4	2	2006-12-31		12	582070-164820	SE4	SE582070-164820	SE4	SE	12s	12	21821.06418	4175059.6339999996	s	Östergötlands samt Stockholms skärgård, mellankustvatten, södra
237	Kaggfjärden	3	2	2006-12-31		12	590550-174540	SE3	SE590550-174540	SE3	SE	12n	12	12058.918020000001	5230920.537	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
238	Näslandsfjärden	3	2	2006-12-31		12	590400-174090	SE3	SE590400-174090	SE3	SE	12n	12	34605.01203	13992146.01	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
239	Himmerfjärden	3	2	2006-12-31		12	590000-174400	SE3	SE590000-174400	SE3	SE	12n	12	51485.84383	30515433.12	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
240	Stavbofjärden	3	2	2006-12-31		12	590200-173765	SE3	SE590200-173765	SE3	SE	12n	12	34622.54532	9095776.223	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
241	Svärdsfjärden	3	2	2006-12-31		12	585000-174600	SE3	SE585000-174600	SE3	SE	12n	12	124254.7187	68118508.5	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
242	Gälöfjärden	3	2	2006-12-31		12	585400-173870	SE3	SE585400-173870	SE3	SE	12n	12	59704.27536	23437120.68	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
243	Fållnäsviken	3	2	2006-12-31		12	585345-174950	SE3	SE585345-174950	SE3	SE	12n	12	31713.705060000004	6421720.704	n	Östergötlands samt Stockholms skärgård, mellankustvatten, norra
